Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.220909435,9.80997467,0.007776673,-0.349950314,9.816217639
0.223274852,9.766903877,0.017347964,-0.369092882,9.773890825
0.225640789,9.814760208,0.026919255,-0.359521598,9.821379657
0.228006154,9.829116821,0.022133609,-0.364307255,9.835890766
0.230371206,9.829116821,0.017347964,-0.330807716,9.834697361
0.23273631,9.862616539,-0.016151553,-0.34037903,9.868501596
0.235102664,9.819545746,0.002991028,-0.393021107,9.827408264
0.23746907,9.829116821,-0.001794617,-0.393021107,9.836971399
0.239835373,9.829116821,0.012562319,-0.335593373,9.834852221
0.24220157,9.766903877,0.046061836,-0.38823548,9.774725563
0.244567195,9.829116821,0.017347964,-0.416949332,9.837971599
0.246932925,9.819545746,-0.025722843,-0.364307255,9.826335029
0.249297768,9.814760208,0.002991028,-0.373878539,9.821879253
0.251662768,9.80997467,0.002991028,-0.393021107,9.817844854
0.254028758,9.795618057,-0.020937199,-0.369092882,9.802591547
0.256394539,9.819545746,0.031704899,-0.369092882,9.826531098
0.258760789,9.819545746,-0.001794617,-0.393021107,9.827407973
0.261126623,9.795618057,0.007776673,-0.34037903,9.801533119
0.263492925,9.814760208,0.031704899,-0.373878539,9.821929968
0.265858758,9.80997467,0.002991028,-0.35473597,9.816386789
0.268224435,9.795618057,0.007776673,-0.38823548,9.803311705
0.270590893,9.814760208,0.012562319,-0.34037903,9.820668696
0.272956831,9.829116821,0.022133609,-0.316450804,9.834234515
0.275322456,9.805189133,-0.016151553,-0.373878539,9.812327958
0.277688654,9.786046028,-0.030508488,-0.393021107,9.793982501
0.2800548,9.829116821,0.007776673,-0.393021107,9.836974309
0.282420737,9.819545746,0.002991028,-0.378664196,9.826844569
0.284786206,9.872187614,-0.030508488,-0.364307255,9.878954339
0.287152248,9.833903313,0.012562319,-0.335593373,9.839635922
0.289517612,9.79083252,-0.011365907,-0.35473597,9.797263302
0.29188355,9.776474953,-0.020937199,-0.393021107,9.784394026
0.294249748,9.766903877,-0.011365907,-0.426520646,9.776219126
0.296615477,9.80997467,-0.006580262,-0.35473597,9.816388539
0.29898105,9.80997467,-0.011365907,-0.349950314,9.816221138
0.301346623,9.80997467,-0.006580262,-0.349950314,9.816216764
0.303712352,9.814760208,-0.016151553,-0.383449823,9.822261073
0.306077925,9.819545746,-0.016151553,-0.364307255,9.826314635
0.308443393,9.819545746,-0.001794617,-0.364307255,9.826301525
0.310809175,9.814760208,0.012562319,-0.402592421,9.823021756
0.31317506,9.829116821,0.007776673,-0.364307255,9.835868937
0.315541258,9.79083252,0.002991028,-0.35473597,9.797257166
0.317906623,9.843474388,0.002991028,-0.349950314,9.849693508
0.320272248,9.843474388,-0.001794617,-0.373878539,9.85057239
0.322636883,9.83868885,-0.001794617,-0.345164657,9.844741752
0.325002404,9.872187614,0.017347964,-0.373878539,9.879280055
0.327368706,9.819545746,0.002991028,-0.38823548,9.827218039
0.329734383,9.795618057,0.031704899,-0.378664196,9.802985509
0.332099487,9.800403595,0.002991028,-0.412163705,9.809067157
0.334464956,9.771689415,0.002991028,-0.373878539,9.778839815
0.336830945,9.786046028,0.022133609,-0.38823548,9.793769119
0.339196779,9.800403595,-0.016151553,-0.359521598,9.807009089
0.341562664,9.829116821,-0.030508488,-0.402592421,9.837405599
0.343928289,9.824331284,-0.001794617,-0.383449823,9.831811743
0.346294539,9.819545746,0.017347964,-0.35473597,9.825966477
0.348660477,9.80997467,-0.011365907,-0.345164657,9.816051694
0.35102605,9.829116821,0.022133609,-0.34037903,9.835033567
0.353391727,9.819545746,0.002991028,-0.35473597,9.825951619
0.355757091,9.79083252,0.017347964,-0.373878539,9.797983851
0.358122925,9.83868885,0.017347964,-0.373878539,9.845805422
0.36048881,9.805189133,0.022133609,-0.35473597,9.811628888
0.362854227,9.805189133,0.022133609,-0.330807716,9.810792912
0.365220216,9.805189133,-0.001794617,-0.34037903,9.811095506
0.367586258,9.80997467,0.022133609,-0.359521598,9.81658539
0.369952195,9.83868885,0.022133609,-0.402592421,9.846947184
0.37231782,9.814760208,0.031704899,-0.421734989,9.823868054
0.374682873,9.824331284,0.026919255,-0.369092882,9.831298967
0.377048081,9.824331284,-0.006580262,-0.359521598,9.830909635
0.379413393,9.814760208,0.017347964,-0.373878539,9.821894118
0.381779123,9.79083252,0.007776673,-0.383449823,9.798341475
0.384144956,9.80997467,0.007776673,-0.378664196,9.817283233
0.38651032,9.814760208,0.002991028,-0.349950314,9.820997511
0.38887657,9.819545746,0.012562319,-0.364307255,9.826309391
0.391242248,9.824331284,0.026919255,-0.369092882,9.831298967
0.393608081,9.819545746,0.026919255,-0.38823548,9.827254453
0.395973706,9.805189133,0.012562319,-0.373878539,9.812322707
0.398338966,9.83868885,-0.006580262,-0.373878539,9.845792338
0.400704539,9.867402077,0.036490545,-0.359521598,9.874016968
0.403070216,9.829116821,-0.001794617,-0.364307255,9.835866026
0.405435373,9.833903313,-0.044865426,-0.38823548,9.841666224
0.407801102,9.786046028,-0.025722843,-0.416949332,9.794958156
0.410166623,9.819545746,0.012562319,-0.440877587,9.829446043
0.412532091,9.819545746,0.031704899,-0.402592421,9.827846382
0.414897664,9.795618057,0.002991028,-0.407378048,9.804085829
0.41726381,9.79083252,0.046061836,-0.416949332,9.799814787
0.419630216,9.819545746,-0.030508488,-0.393021107,9.827455165
0.421996258,9.833903313,-0.001794617,-0.335593373,9.839628067
0.424361987,9.819545746,0.002991028,-0.349950314,9.825780011
0.426728081,9.843474388,-0.001794617,-0.383449823,9.850940311
0.429093445,9.814760208,-0.011365907,-0.359521598,9.821349342
0.431459539,9.795618057,0.002991028,-0.349950314,9.801867541
0.433825529,9.819545746,-0.006580262,-0.412163705,9.828194182
0.436191102,9.78126049,0.002991028,-0.412163705,9.789940993
0.438556883,9.805189133,-0.006580262,-0.345164657,9.811264744
0.440922873,9.833903313,-0.025722843,-0.345164657,9.839992615
0.44328782,9.853045464,0.012562319,-0.393021107,9.860888819
0.445653966,9.829116821,0.002991028,-0.321236432,9.83436522
0.448019383,9.862616539,0.007776673,-0.35473597,9.868997066
0.450384175,9.79083252,0.002991028,-0.397806764,9.798911194
0.452749643,9.757332802,0.017347964,-0.416949332,9.766252664
0.455115737,9.757332802,0.002991028,-0.383449823,9.76486488
0.4574823,9.79083252,-0.001794617,-0.330807716,9.796419672
0.459847716,9.78126049,0.017347964,-0.35473597,9.787706337
0.462212873,9.795618057,-0.011365907,-0.35473597,9.802045701
0.464578185,9.814760208,0.012562319,-0.34037903,9.820668696
0.466943602,9.824331284,0.031704899,-0.364307255,9.831134733
